measure,location,sex,age,cause,metric,val
Deaths,United Republic of Tanzania,Male,<5 years,Protein-energy malnutrition,Percent,0.025618165
Deaths,United Republic of Tanzania,Female,<5 years,Protein-energy malnutrition,Percent,0.031561258
Deaths,United Republic of Tanzania,Male,<5 years,Protein-energy malnutrition,Rate,30.18925542
Deaths,United Republic of Tanzania,Female,<5 years,Protein-energy malnutrition,Rate,32.76361108
Deaths,United Republic of Tanzania,Male,10 - 54 years,Protein-energy malnutrition,Number,243.2762284
Deaths,United Republic of Tanzania,Female,10 - 54 years,Protein-energy malnutrition,Number,200.6210566
Deaths,United Republic of Tanzania,Male,10 - 54 years,Protein-energy malnutrition,Percent,0.00350921
Deaths,United Republic of Tanzania,Female,10 - 54 years,Protein-energy malnutrition,Percent,0.003535121
Deaths,United Republic of Tanzania,Male,10 - 54 years,Protein-energy malnutrition,Rate,1.362217731
Deaths,United Republic of Tanzania,Female,10 - 54 years,Protein-energy malnutrition,Rate,1.031296764
Deaths,United Republic of Tanzania,Male,55+ years,Protein-energy malnutrition,Number,428.356554
Deaths,United Republic of Tanzania,Female,55+ years,Protein-energy malnutrition,Number,479.5078937
Deaths,United Republic of Tanzania,Male,55+ years,Protein-energy malnutrition,Percent,0.003723867
Deaths,United Republic of Tanzania,Female,55+ years,Protein-energy malnutrition,Percent,0.005104322
Deaths,United Republic of Tanzania,Male,55+ years,Protein-energy malnutrition,Rate,21.4214253
Deaths,United Republic of Tanzania,Female,55+ years,Protein-energy malnutrition,Rate,22.5914729
Deaths,Republic of Uganda,Male,<5 years,Measles,Number,183.3936986
Deaths,Republic of Uganda,Female,<5 years,Measles,Number,142.3542087
Deaths,Republic of Uganda,Male,<5 years,Measles,Percent,0.003286129
Deaths,Republic of Uganda,Female,<5 years,Measles,Percent,0.003141019
Deaths,Republic of Uganda,Male,<5 years,Measles,Rate,4.913500652
Deaths,Republic of Uganda,Female,<5 years,Measles,Rate,3.970525839
Deaths,Republic of Uganda,Male,10 - 54 years,Measles,Number,4.971711986
Deaths,Republic of Uganda,Female,10 - 54 years,Measles,Number,2.647173716
Deaths,Republic of Uganda,Male,10 - 54 years,Measles,Percent,8.8e-05
Deaths,Republic of Uganda,Female,10 - 54 years,Measles,Percent,6.66e-05
Deaths,Republic of Uganda,Male,10 - 54 years,Measles,Rate,0.037655029
Deaths,Republic of Uganda,Female,10 - 54 years,Measles,Rate,0.019144426
Deaths,Republic of Uganda,Male,55+ years,Measles,Number,0.058301872
Deaths,Republic of Uganda,Female,55+ years,Measles,Number,0.041029482
Deaths,Republic of Uganda,Male,55+ years,Measles,Percent,8.55e-07
Deaths,Republic of Uganda,Female,55+ years,Measles,Percent,6.98e-07
Deaths,Republic of Uganda,Male,55+ years,Measles,Rate,0.005606306
Deaths,Republic of Uganda,Female,55+ years,Measles,Rate,0.003081313
Deaths,Republic of Uganda,Male,<5 years,Neglected tropical diseases and malaria,Number,17215.85125
Deaths,Republic of Uganda,Female,<5 years,Neglected tropical diseases and malaria,Number,16237.9661
Deaths,Republic of Uganda,Male,<5 years,Neglected tropical diseases and malaria,Percent,0.302818989
Deaths,Republic of Uganda,Female,<5 years,Neglected tropical diseases and malaria,Percent,0.353555806
Deaths,Republic of Uganda,Male,<5 years,Neglected tropical diseases and malaria,Rate,461.2486525
Deaths,Republic of Uganda,Female,<5 years,Neglected tropical diseases and malaria,Rate,452.9073255
Deaths,Republic of Uganda,Male,10 - 54 years,Neglected tropical diseases and malaria,Number,4676.073585
Deaths,Republic of Uganda,Female,10 - 54 years,Neglected tropical diseases and malaria,Number,2646.718731
Deaths,Republic of Uganda,Male,10 - 54 years,Neglected tropical diseases and malaria,Percent,0.08215615
Deaths,Republic of Uganda,Female,10 - 54 years,Neglected tropical diseases and malaria,Percent,0.066202527
Deaths,Republic of Uganda,Male,10 - 54 years,Neglected tropical diseases and malaria,Rate,35.41590658
Deaths,Republic of Uganda,Female,10 - 54 years,Neglected tropical diseases and malaria,Rate,19.14113573
Deaths,Republic of Uganda,Male,55+ years,Neglected tropical diseases and malaria,Number,1949.804027
Deaths,Republic of Uganda,Female,55+ years,Neglected tropical diseases and malaria,Number,1886.286009
Deaths,Republic of Uganda,Male,55+ years,Neglected tropical diseases and malaria,Percent,0.02868458
Deaths,Republic of Uganda,Female,55+ years,Neglected tropical diseases and malaria,Percent,0.032214531
Deaths,Republic of Uganda,Male,55+ years,Neglected tropical diseases and malaria,Rate,187.4930899
Deaths,Republic of Uganda,Female,55+ years,Neglected tropical diseases and malaria,Rate,141.6600205
Deaths,United Republic of Tanzania,Male,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Number,42373.28227
Deaths,United Republic of Tanzania,Female,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Number,35471.52421
Deaths,United Republic of Tanzania,Male,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Percent,0.80473517
Deaths,United Republic of Tanzania,Female,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Percent,0.780626576
Deaths,United Republic of Tanzania,Male,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,949.4494789
Deaths,United Republic of Tanzania,Female,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,809.2550353
Deaths,United Republic of Tanzania,Male,10 - 54 years,"Communicable, maternal, neonatal, and nutritional diseases",Number,35490.29784
Deaths,United Republic of Tanzania,Female,10 - 54 years,"Communicable, maternal, neonatal, and nutritional diseases",Number,35629.15662
Deaths,United Republic of Tanzania,Male,10 - 54 years,"Communicable, maternal, neonatal, and nutritional diseases",Percent,0.51377868
Deaths,United Republic of Tanzania,Female,10 - 54 years,"Communicable, maternal, neonatal, and nutritional diseases",Percent,0.630146285
Deaths,United Republic of Tanzania,Male,10 - 54 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,198.7268272
Deaths,United Republic of Tanzania,Female,10 - 54 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,183.1524296
Deaths,United Republic of Tanzania,Male,55+ years,"Communicable, maternal, neonatal, and nutritional diseases",Number,46101.04209
Deaths,United Republic of Tanzania,Female,55+ years,"Communicable, maternal, neonatal, and nutritional diseases",Number,33194.81882
Deaths,United Republic of Tanzania,Male,55+ years,"Communicable, maternal, neonatal, and nutritional diseases",Percent,0.402344599
Deaths,United Republic of Tanzania,Female,55+ years,"Communicable, maternal, neonatal, and nutritional diseases",Percent,0.354235183
Deaths,United Republic of Tanzania,Male,55+ years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2305.43929
Deaths,United Republic of Tanzania,Female,55+ years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1563.936402
Deaths,Republic of Burundi,Male,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Number,14195.71812
Deaths,Republic of Burundi,Female,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Number,11821.00131
Deaths,Republic of Burundi,Male,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Percent,0.87780591
Deaths,Republic of Burundi,Female,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Percent,0.882426556
Deaths,Republic of Burundi,Male,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1307.384365
Deaths,Republic of Burundi,Female,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1100.061773
Deaths,Republic of Burundi,Male,10 - 54 years,"Communicable, maternal, neonatal, and nutritional diseases",Number,7598.064386
Deaths,Republic of Burundi,Female,10 - 54 years,"Communicable, maternal, neonatal, and nutritional diseases",Number,6221.477516
Deaths,Republic of Burundi,Male,10 - 54 years,"Communicable, maternal, neonatal, and nutritional diseases",Percent,0.478535582
Deaths,Republic of Burundi,Female,10 - 54 years,"Communicable, maternal, neonatal, and nutritional diseases",Percent,0.575026556
Deaths,Republic of Burundi,Male,10 - 54 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,183.5538498
Deaths,Republic of Burundi,Female,10 - 54 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,149.5127432
Deaths,Republic of Burundi,Male,55+ years,"Communicable, maternal, neonatal, and nutritional diseases",Number,9204.36046
Deaths,Republic of Burundi,Female,55+ years,"Communicable, maternal, neonatal, and nutritional diseases",Number,5766.320989
Deaths,Republic of Burundi,Male,55+ years,"Communicable, maternal, neonatal, and nutritional diseases",Percent,0.397457886
Deaths,Republic of Burundi,Female,55+ years,"Communicable, maternal, neonatal, and nutritional diseases",Percent,0.363692427
Deaths,Republic of Burundi,Male,55+ years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2177.234871
Deaths,Republic of Burundi,Female,55+ years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1526.39566
Deaths,United Republic of Tanzania,Male,<5 years,Measles,Number,1050.658015
Deaths,United Republic of Tanzania,Female,<5 years,Measles,Number,982.9743569
Deaths,United Republic of Tanzania,Male,<5 years,Measles,Percent,0.019901093
Deaths,United Republic of Tanzania,Female,<5 years,Measles,Percent,0.021489808
Deaths,United Republic of Tanzania,Male,<5 years,Measles,Rate,23.54187949
Deaths,United Republic of Tanzania,Female,<5 years,Measles,Rate,22.42578986
Deaths,United Republic of Tanzania,Male,10 - 54 years,Measles,Number,44.766254
Deaths,United Republic of Tanzania,Female,10 - 54 years,Measles,Number,54.45320046
Deaths,United Republic of Tanzania,Male,10 - 54 years,Measles,Percent,0.000646835
Deaths,United Republic of Tanzania,Female,10 - 54 years,Measles,Percent,0.000959428
Deaths,United Republic of Tanzania,Male,10 - 54 years,Measles,Rate,0.250667257
Deaths,United Republic of Tanzania,Female,10 - 54 years,Measles,Rate,0.279917823
Deaths,United Republic of Tanzania,Male,55+ years,Measles,Number,0.632950423
Deaths,United Republic of Tanzania,Female,55+ years,Measles,Number,0.481480319
Deaths,United Republic of Tanzania,Male,55+ years,Measles,Percent,5.49e-06
Deaths,United Republic of Tanzania,Female,55+ years,Measles,Percent,5.11e-06
Deaths,United Republic of Tanzania,Male,55+ years,Measles,Rate,0.031652837
Deaths,United Republic of Tanzania,Female,55+ years,Measles,Rate,0.022684401
Deaths,United Republic of Tanzania,Male,<5 years,Neglected tropical diseases and malaria,Number,5866.407932
Deaths,United Republic of Tanzania,Female,<5 years,Neglected tropical diseases and malaria,Number,5908.804921
Deaths,United Republic of Tanzania,Male,<5 years,Neglected tropical diseases and malaria,Percent,0.111967238
Deaths,United Republic of Tanzania,Female,<5 years,Neglected tropical diseases and malaria,Percent,0.130127884
Deaths,United Republic of Tanzania,Male,<5 years,Neglected tropical diseases and malaria,Rate,131.447404
Deaths,United Republic of Tanzania,Female,<5 years,Neglected tropical diseases and malaria,Rate,134.8047551
Deaths,United Republic of Tanzania,Male,10 - 54 years,Neglected tropical diseases and malaria,Number,1432.822609
Deaths,United Republic of Tanzania,Female,10 - 54 years,Neglected tropical diseases and malaria,Number,1071.295664
Deaths,United Republic of Tanzania,Male,10 - 54 years,Neglected tropical diseases and malaria,Percent,0.020696754
Deaths,United Republic of Tanzania,Female,10 - 54 years,Neglected tropical diseases and malaria,Percent,0.018878097
Deaths,United Republic of Tanzania,Male,10 - 54 years,Neglected tropical diseases and malaria,Rate,8.023045969
Deaths,United Republic of Tanzania,Female,10 - 54 years,Neglected tropical diseases and malaria,Rate,5.50701791
Deaths,United Republic of Tanzania,Male,55+ years,Neglected tropical diseases and malaria,Number,854.9027804
Deaths,United Republic of Tanzania,Female,55+ years,Neglected tropical diseases and malaria,Number,873.1165408
Deaths,United Republic of Tanzania,Male,55+ years,Neglected tropical diseases and malaria,Percent,0.007428898
Deaths,United Republic of Tanzania,Female,55+ years,Neglected tropical diseases and malaria,Percent,0.009278041
Deaths,United Republic of Tanzania,Male,55+ years,Neglected tropical diseases and malaria,Rate,42.75231903
Deaths,United Republic of Tanzania,Female,55+ years,Neglected tropical diseases and malaria,Rate,41.13589981
Deaths,Republic of Uganda,Male,<5 years,Non-communicable diseases,Number,5456.199935
Deaths,Republic of Uganda,Female,<5 years,Non-communicable diseases,Number,4694.587573
Deaths,Republic of Uganda,Male,<5 years,Non-communicable diseases,Percent,0.0977895
Deaths,Republic of Uganda,Female,<5 years,Non-communicable diseases,Percent,0.104649008
Deaths,Republic of Uganda,Male,<5 years,Non-communicable diseases,Rate,146.1830049
Deaths,Republic of Uganda,Female,<5 years,Non-communicable diseases,Rate,130.9408512
Deaths,Republic of Uganda,Male,10 - 54 years,Non-communicable diseases,Number,14204.37745
Deaths,Republic of Uganda,Female,10 - 54 years,Non-communicable diseases,Number,9537.156052
Deaths,Republic of Uganda,Male,10 - 54 years,Non-communicable diseases,Percent,0.251804202
Deaths,Republic of Uganda,Female,10 - 54 years,Non-communicable diseases,Percent,0.240395734
Deaths,Republic of Uganda,Male,10 - 54 years,Non-communicable diseases,Rate,107.5819052
Deaths,Republic of Uganda,Female,10 - 54 years,Non-communicable diseases,Rate,68.97294989
Deaths,Republic of Uganda,Male,55+ years,Non-communicable diseases,Number,29283.26283
Deaths,Republic of Uganda,Female,55+ years,Non-communicable diseases,Number,28313.76124
Deaths,Republic of Uganda,Male,55+ years,Non-communicable diseases,Percent,0.431543308
Deaths,Republic of Uganda,Female,55+ years,Non-communicable diseases,Percent,0.485318762
Deaths,Republic of Uganda,Male,55+ years,Non-communicable diseases,Rate,2815.877572
Deaths,Republic of Uganda,Female,55+ years,Non-communicable diseases,Rate,2126.362587
Deaths,Republic of Burundi,Male,<5 years,Measles,Number,159.6530197
Deaths,Republic of Burundi,Female,<5 years,Measles,Number,131.5525873
Deaths,Republic of Burundi,Male,<5 years,Measles,Percent,0.009882596
Deaths,Republic of Burundi,Female,<5 years,Measles,Percent,0.009832696
Deaths,Republic of Burundi,Male,<5 years,Measles,Rate,14.70357894
Deaths,Republic of Burundi,Female,<5 years,Measles,Rate,12.242277
Deaths,Republic of Burundi,Male,10 - 54 years,Measles,Number,10.22839792
Deaths,Republic of Burundi,Female,10 - 54 years,Measles,Number,13.97576446
Deaths,Republic of Burundi,Male,10 - 54 years,Measles,Percent,0.000644076
Deaths,Republic of Burundi,Female,10 - 54 years,Measles,Percent,0.001292412
Deaths,Republic of Burundi,Male,10 - 54 years,Measles,Rate,0.247097382
Deaths,Republic of Burundi,Female,10 - 54 years,Measles,Rate,0.335861518
Deaths,Republic of Burundi,Male,55+ years,Measles,Number,0.173141213
Deaths,Republic of Burundi,Female,55+ years,Measles,Number,0.10077059
Deaths,Republic of Burundi,Male,55+ years,Measles,Percent,7.44e-06
Deaths,Republic of Burundi,Female,55+ years,Measles,Percent,6.33e-06
Deaths,Republic of Burundi,Male,55+ years,Measles,Rate,0.040955489
Deaths,Republic of Burundi,Female,55+ years,Measles,Rate,0.026674858
Deaths,Republic of Burundi,Male,<5 years,Neglected tropical diseases and malaria,Number,5402.288552
Deaths,Republic of Burundi,Female,<5 years,Neglected tropical diseases and malaria,Number,4769.104015
Deaths,Republic of Burundi,Male,<5 years,Neglected tropical diseases and malaria,Percent,0.331696969
Deaths,Republic of Burundi,Female,<5 years,Neglected tropical diseases and malaria,Percent,0.353545933
Deaths,Republic of Burundi,Male,<5 years,Neglected tropical diseases and malaria,Rate,497.5350688
Deaths,Republic of Burundi,Female,<5 years,Neglected tropical diseases and malaria,Rate,443.8125741
Deaths,Republic of Burundi,Male,10 - 54 years,Neglected tropical diseases and malaria,Number,1327.101794
Deaths,Republic of Burundi,Female,10 - 54 years,Neglected tropical diseases and malaria,Number,881.6322677
Deaths,Republic of Burundi,Male,10 - 54 years,Neglected tropical diseases and malaria,Percent,0.083068042
Deaths,Republic of Burundi,Female,10 - 54 years,Neglected tropical diseases and malaria,Percent,0.081036291
Deaths,Republic of Burundi,Male,10 - 54 years,Neglected tropical diseases and malaria,Rate,32.06009202
Deaths,Republic of Burundi,Female,10 - 54 years,Neglected tropical diseases and malaria,Rate,21.18713095
Deaths,Republic of Burundi,Male,55+ years,Neglected tropical diseases and malaria,Number,702.8030437
Deaths,Republic of Burundi,Female,55+ years,Neglected tropical diseases and malaria,Number,593.7431438
Deaths,Republic of Burundi,Male,55+ years,Neglected tropical diseases and malaria,Percent,0.030182326
Deaths,Republic of Burundi,Female,55+ years,Neglected tropical diseases and malaria,Percent,0.037249403
Deaths,Republic of Burundi,Male,55+ years,Neglected tropical diseases and malaria,Rate,166.2437386
Deaths,Republic of Burundi,Female,55+ years,Neglected tropical diseases and malaria,Rate,157.1690095
Deaths,Republic of Burundi,Male,<5 years,Non-communicable diseases,Number,1499.740234
Deaths,Republic of Burundi,Female,<5 years,Non-communicable diseases,Number,1228.312574
Deaths,Republic of Burundi,Male,<5 years,Non-communicable diseases,Percent,0.092794215
Deaths,Republic of Burundi,Female,<5 years,Non-communicable diseases,Percent,0.09201138
Deaths,Republic of Burundi,Male,<5 years,Non-communicable diseases,Rate,138.1217151
Deaths,Republic of Burundi,Female,<5 years,Non-communicable diseases,Rate,114.3067049
Deaths,Republic of Burundi,Male,10 - 54 years,Non-communicable diseases,Number,4755.374441
Deaths,Republic of Burundi,Female,10 - 54 years,Non-communicable diseases,Number,3425.3859
Deaths,Republic of Burundi,Male,10 - 54 years,Non-communicable diseases,Percent,0.298758344
Deaths,Republic of Burundi,Female,10 - 54 years,Non-communicable diseases,Percent,0.315911451
Deaths,Republic of Burundi,Male,10 - 54 years,Non-communicable diseases,Rate,114.8802171
Deaths,Republic of Burundi,Female,10 - 54 years,Non-communicable diseases,Rate,82.31788045
Deaths,Republic of Burundi,Male,55+ years,Non-communicable diseases,Number,10914.79918
Deaths,Republic of Burundi,Female,55+ years,Non-communicable diseases,Number,8725.437072
Deaths,Republic of Burundi,Male,55+ years,Non-communicable diseases,Percent,0.469805785
Deaths,Republic of Burundi,Female,55+ years,Non-communicable diseases,Percent,0.548776471
Deaths,Republic of Burundi,Male,55+ years,Non-communicable diseases,Rate,2581.828633
Deaths,Republic of Burundi,Female,55+ years,Non-communicable diseases,Rate,2309.6996
Deaths,Republic of Uganda,Male,<5 years,Other infectious diseases,Number,2704.30236
Deaths,Republic of Uganda,Female,<5 years,Other infectious diseases,Number,1996.131428
Deaths,Republic of Uganda,Male,<5 years,Other infectious diseases,Percent,0.049031587
Deaths,Republic of Uganda,Female,<5 years,Other infectious diseases,Percent,0.045008163
Deaths,Republic of Uganda,Male,<5 years,Other infectious diseases,Rate,72.45391478
Deaths,Republic of Uganda,Female,<5 years,Other infectious diseases,Rate,55.67584888
Deaths,Republic of Uganda,Male,10 - 54 years,Other infectious diseases,Number,1235.690785
Deaths,Republic of Uganda,Female,10 - 54 years,Other infectious diseases,Number,645.2628623
Deaths,Republic of Uganda,Male,10 - 54 years,Other infectious diseases,Percent,0.021931366
Deaths,Republic of Uganda,Female,10 - 54 years,Other infectious diseases,Percent,0.016271809
Deaths,Republic of Uganda,Male,10 - 54 years,Other infectious diseases,Rate,9.3589437
Deaths,Republic of Uganda,Female,10 - 54 years,Other infectious diseases,Rate,4.666557076
Deaths,Republic of Uganda,Male,55+ years,Other infectious diseases,Number,571.4608216
Deaths,Republic of Uganda,Female,55+ years,Other infectious diseases,Number,470.1696872
Deaths,Republic of Uganda,Male,55+ years,Other infectious diseases,Percent,0.008419517
Deaths,Republic of Uganda,Female,55+ years,Other infectious diseases,Percent,0.008055917
Deaths,Republic of Uganda,Male,55+ years,Other infectious diseases,Rate,54.95165345
Deaths,Republic of Uganda,Female,55+ years,Other infectious diseases,Rate,35.30972885
Deaths,Republic of Rwanda,Male,<5 years,Measles,Number,43.69142433
Deaths,Republic of Rwanda,Female,<5 years,Measles,Number,32.92640854
Deaths,Republic of Rwanda,Male,<5 years,Measles,Percent,0.005261814
Deaths,Republic of Rwanda,Female,<5 years,Measles,Percent,0.004789309
Deaths,Republic of Rwanda,Male,<5 years,Measles,Rate,4.918013399
Deaths,Republic of Rwanda,Female,<5 years,Measles,Rate,3.828356464
Deaths,Republic of Rwanda,Male,10 - 54 years,Measles,Number,1.838338256
Deaths,Republic of Rwanda,Female,10 - 54 years,Measles,Number,1.433331251
Deaths,Republic of Rwanda,Male,10 - 54 years,Measles,Percent,0.000120962
Deaths,Republic of Rwanda,Female,10 - 54 years,Measles,Percent,0.000124315
Deaths,Republic of Rwanda,Male,10 - 54 years,Measles,Rate,0.042861713
Deaths,Republic of Rwanda,Female,10 - 54 years,Measles,Rate,0.031705973
Deaths,Republic of Rwanda,Male,55+ years,Measles,Number,0.036552478
Deaths,Republic of Rwanda,Female,55+ years,Measles,Number,0.028452893
Deaths,Republic of Rwanda,Male,55+ years,Measles,Percent,1.49e-06
Deaths,Republic of Rwanda,Female,55+ years,Measles,Percent,1.14e-06
Deaths,Republic of Rwanda,Male,55+ years,Measles,Rate,0.008182346
Deaths,Republic of Rwanda,Female,55+ years,Measles,Rate,0.004658739
Deaths,Republic of Rwanda,Male,<5 years,Neglected tropical diseases and malaria,Number,910.5560563
Deaths,Republic of Rwanda,Female,<5 years,Neglected tropical diseases and malaria,Number,906.0278524
Deaths,Republic of Rwanda,Male,<5 years,Neglected tropical diseases and malaria,Percent,0.110108637
Deaths,Republic of Rwanda,Female,<5 years,Neglected tropical diseases and malaria,Percent,0.13233906
Deaths,Republic of Rwanda,Male,<5 years,Neglected tropical diseases and malaria,Rate,102.4944129
Deaths,Republic of Rwanda,Female,<5 years,Neglected tropical diseases and malaria,Rate,105.3439394
Deaths,Republic of Rwanda,Male,10 - 54 years,Neglected tropical diseases and malaria,Number,466.4885369
Deaths,Republic of Rwanda,Female,10 - 54 years,Neglected tropical diseases and malaria,Number,309.8131073
Deaths,Republic of Rwanda,Male,10 - 54 years,Neglected tropical diseases and malaria,Percent,0.030708474
Deaths,Republic of Rwanda,Female,10 - 54 years,Neglected tropical diseases and malaria,Percent,0.026817509
Deaths,Republic of Rwanda,Male,10 - 54 years,Neglected tropical diseases and malaria,Rate,10.87639763
Deaths,Republic of Rwanda,Female,10 - 54 years,Neglected tropical diseases and malaria,Rate,6.853214231
Deaths,Republic of Rwanda,Male,55+ years,Neglected tropical diseases and malaria,Number,287.5404003
Deaths,Republic of Rwanda,Female,55+ years,Neglected tropical diseases and malaria,Number,297.2581224
Deaths,Republic of Rwanda,Male,55+ years,Neglected tropical diseases and malaria,Percent,0.01172212
Deaths,Republic of Rwanda,Female,55+ years,Neglected tropical diseases and malaria,Percent,0.011952563
Deaths,Republic of Rwanda,Male,55+ years,Neglected tropical diseases and malaria,Rate,64.36649815
Deaths,Republic of Rwanda,Female,55+ years,Neglected tropical diseases and malaria,Rate,48.67160402
Deaths,United Republic of Tanzania,Male,<5 years,Non-communicable diseases,Number,7998.043025
Deaths,United Republic of Tanzania,Female,<5 years,Non-communicable diseases,Number,7790.481965
Deaths,United Republic of Tanzania,Male,<5 years,Non-communicable diseases,Percent,0.152183396
Deaths,United Republic of Tanzania,Female,<5 years,Non-communicable diseases,Percent,0.171627219
Deaths,United Republic of Tanzania,Male,<5 years,Non-communicable diseases,Rate,179.2105161
Deaths,United Republic of Tanzania,Female,<5 years,Non-communicable diseases,Rate,177.7337427
Deaths,United Republic of Tanzania,Male,10 - 54 years,Non-communicable diseases,Number,19305.15275
Deaths,United Republic of Tanzania,Female,10 - 54 years,Non-communicable diseases,Number,15566.69588
Deaths,United Republic of Tanzania,Male,10 - 54 years,Non-communicable diseases,Percent,0.278296574
Deaths,United Republic of Tanzania,Female,10 - 54 years,Non-communicable diseases,Percent,0.273718947
Deaths,United Republic of Tanzania,Male,10 - 54 years,Non-communicable diseases,Rate,108.0986069
Deaths,United Republic of Tanzania,Female,10 - 54 years,Non-communicable diseases,Rate,80.02092784
Deaths,United Republic of Tanzania,Male,55+ years,Non-communicable diseases,Number,51910.87567
Deaths,United Republic of Tanzania,Female,55+ years,Non-communicable diseases,Number,50584.02334
Deaths,United Republic of Tanzania,Male,55+ years,Non-communicable diseases,Percent,0.45104164
Deaths,United Republic of Tanzania,Female,55+ years,Non-communicable diseases,Percent,0.537515435
Deaths,United Republic of Tanzania,Male,55+ years,Non-communicable diseases,Rate,2595.979764
Deaths,United Republic of Tanzania,Female,55+ years,Non-communicable diseases,Rate,2383.209135
Deaths,Republic of Uganda,Male,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Number,47984.00524
Deaths,Republic of Uganda,Female,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Number,38430.87238
Deaths,Republic of Uganda,Male,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Percent,0.858475655
Deaths,Republic of Uganda,Female,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Percent,0.85160849
Deaths,Republic of Uganda,Male,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1285.591832
Deaths,Republic of Uganda,Female,<5 years,"Communicable, maternal, neonatal, and nutritional diseases",Rate,1071.9091
Deaths,Republic of Uganda,Male,10 - 54 years,"Communicable, maternal, neonatal, and nutritional diseases",Number,29697.86532
